first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_newly_tested,weekly_cases,weekly_deceased
15/03/2020,21/03/2020,0-19,נקבה,901,863,38,0
15/03/2020,21/03/2020,0-19,לא ידוע,27,27,0,0
15/03/2020,21/03/2020,0-19,זכר,1100,1043,39,0
15/03/2020,21/03/2020,20-24,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,20-24,זכר,697,650,105,0
15/03/2020,21/03/2020,20-24,נקבה,613,594,34,0
15/03/2020,21/03/2020,25-29,נקבה,753,718,50,0
15/03/2020,21/03/2020,25-29,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,25-29,זכר,598,573,53,0
15/03/2020,21/03/2020,30-34,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,30-34,נקבה,710,650,42,0
15/03/2020,21/03/2020,30-34,זכר,658,604,70,0
15/03/2020,21/03/2020,35-39,זכר,579,529,54,0
15/03/2020,21/03/2020,35-39,נקבה,520,494,25,0
15/03/2020,21/03/2020,35-39,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,40-44,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,40-44,זכר,429,396,37,0
15/03/2020,21/03/2020,40-44,נקבה,474,430,22,0
15/03/2020,21/03/2020,45-49,נקבה,388,372,18,0
15/03/2020,21/03/2020,45-49,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,45-49,זכר,376,333,42,0
15/03/2020,21/03/2020,50-54,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,50-54,נקבה,390,367,26,0
15/03/2020,21/03/2020,50-54,זכר,300,272,36,0
15/03/2020,21/03/2020,55-59,נקבה,358,331,26,0
15/03/2020,21/03/2020,55-59,זכר,220,195,27,0
15/03/2020,21/03/2020,55-59,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,60-64,נקבה,300,281,26,0
15/03/2020,21/03/2020,60-64,זכר,253,226,24,0
15/03/2020,21/03/2020,60-64,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,65-69,נקבה,237,211,17,0
15/03/2020,21/03/2020,65-69,זכר,271,236,36,0
15/03/2020,21/03/2020,65-69,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,70-74,זכר,216,182,31,0
15/03/2020,21/03/2020,70-74,נקבה,167,147,20,0
15/03/2020,21/03/2020,70-74,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,75-79,נקבה,88,81,0,0
15/03/2020,21/03/2020,75-79,זכר,116,103,0,0
15/03/2020,21/03/2020,75-79,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,80+,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,80+,נקבה,228,194,0,0
15/03/2020,21/03/2020,80+,זכר,188,167,0,0
15/03/2020,21/03/2020,NULL,נקבה,288,260,0,0
15/03/2020,21/03/2020,NULL,לא ידוע,41,38,0,0
15/03/2020,21/03/2020,NULL,זכר,266,247,0,0
22/03/2020,28/03/2020,0-19,נקבה,2216,2076,166,0
22/03/2020,28/03/2020,0-19,לא ידוע,69,68,0,0
22/03/2020,28/03/2020,0-19,זכר,2429,2276,189,0
22/03/2020,28/03/2020,20-24,לא ידוע,108,106,0,0
22/03/2020,28/03/2020,20-24,זכר,2078,1897,219,0
22/03/2020,28/03/2020,20-24,נקבה,2125,2004,155,0
22/03/2020,28/03/2020,25-29,נקבה,2174,2012,119,0
22/03/2020,28/03/2020,25-29,לא ידוע,48,48,0,0
22/03/2020,28/03/2020,25-29,זכר,2024,1874,173,0
22/03/2020,28/03/2020,30-34,לא ידוע,30,30,0,0
22/03/2020,28/03/2020,30-34,נקבה,1807,1643,118,0
22/03/2020,28/03/2020,30-34,זכר,1860,1682,133,0
22/03/2020,28/03/2020,35-39,זכר,1583,1396,125,0
22/03/2020,28/03/2020,35-39,נקבה,1520,1419,78,0
22/03/2020,28/03/2020,35-39,לא ידוע,0,0,0,0
22/03/2020,28/03/2020,40-44,לא ידוע,0,0,0,0
22/03/2020,28/03/2020,40-44,זכר,1204,1103,91,0
22/03/2020,28/03/2020,40-44,נקבה,1285,1180,73,0
22/03/2020,28/03/2020,45-49,נקבה,1208,1130,87,0
22/03/2020,28/03/2020,45-49,לא ידוע,0,0,0,0
22/03/2020,28/03/2020,45-49,זכר,1074,970,131,0
22/03/2020,28/03/2020,50-54,לא ידוע,0,0,0,0
22/03/2020,28/03/2020,50-54,נקבה,1129,1041,98,0
22/03/2020,28/03/2020,50-54,זכר,793,726,121,0
22/03/2020,28/03/2020,55-59,נקבה,1046,953,82,0
22/03/2020,28/03/2020,55-59,זכר,794,732,143,0
22/03/2020,28/03/2020,55-59,לא ידוע,0,0,0,0
22/03/2020,28/03/2020,60-64,נקבה,933,863,82,0
22/03/2020,28/03/2020,60-64,זכר,908,810,125,0
22/03/2020,28/03/2020,60-64,לא ידוע,0,0,0,0
22/03/2020,28/03/2020,65-69,נקבה,606,553,61,0
22/03/2020,28/03/2020,65-69,זכר,689,621,89,0
22/03/2020,28/03/2020,65-69,לא ידוע,0,0,0,0
22/03/2020,28/03/2020,70-74,זכר,482,412,66,0
22/03/2020,28/03/2020,70-74,נקבה,454,384,40,0
22/03/2020,28/03/2020,70-74,לא ידוע,0,0,0,0
22/03/2020,28/03/2020,75-79,נקבה,249,212,22,0
22/03/2020,28/03/2020,75-79,זכר,287,243,46,0
22/03/2020,28/03/2020,75-79,לא ידוע,0,0,0,0
22/03/2020,28/03/2020,80+,לא ידוע,0,0,0,0
22/03/2020,28/03/2020,80+,נקבה,697,610,34,0
22/03/2020,28/03/2020,80+,זכר,470,401,37,0
22/03/2020,28/03/2020,NULL,נקבה,484,411,0,0
22/03/2020,28/03/2020,NULL,לא ידוע,182,174,0,0
22/03/2020,28/03/2020,NULL,זכר,568,511,26,0
29/03/2020,04/04/2020,0-19,נקבה,3161,2839,318,0
29/03/2020,04/04/2020,0-19,לא ידוע,59,59,0,0
29/03/2020,04/04/2020,0-19,זכר,3559,3213,366,0
29/03/2020,04/04/2020,20-24,לא ידוע,56,54,0,0
29/03/2020,04/04/2020,20-24,זכר,4794,4203,343,0
29/03/2020,04/04/2020,20-24,נקבה,4058,3699,232,0
29/03/2020,04/04/2020,25-29,נקבה,2961,2527,170,0
29/03/2020,04/04/2020,25-29,לא ידוע,28,27,0,0
29/03/2020,04/04/2020,25-29,זכר,3327,2932,231,0
29/03/2020,04/04/2020,30-34,לא ידוע,25,24,0,0
29/03/2020,04/04/2020,30-34,נקבה,2693,2323,110,0
29/03/2020,04/04/2020,30-34,זכר,3072,2593,191,0
29/03/2020,04/04/2020,35-39,זכר,2635,2220,150,0
29/03/2020,04/04/2020,35-39,נקבה,2204,1898,102,0
29/03/2020,04/04/2020,35-39,לא ידוע,0,0,0,0
29/03/2020,04/04/2020,40-44,לא ידוע,15,15,0,0
29/03/2020,04/04/2020,40-44,זכר,2159,1829,182,0
29/03/2020,04/04/2020,40-44,נקבה,2108,1819,119,0
29/03/2020,04/04/2020,45-49,נקבה,2035,1765,106,0
29/03/2020,04/04/2020,45-49,לא ידוע,0,0,0,0
29/03/2020,04/04/2020,45-49,זכר,1910,1598,164,0
29/03/2020,04/04/2020,50-54,לא ידוע,0,0,0,0
29/03/2020,04/04/2020,50-54,נקבה,1890,1628,102,0
29/03/2020,04/04/2020,50-54,זכר,1633,1376,138,0
29/03/2020,04/04/2020,55-59,נקבה,1757,1513,131,0
29/03/2020,04/04/2020,55-59,זכר,1515,1285,160,0
29/03/2020,04/04/2020,55-59,לא ידוע,16,16,0,0
29/03/2020,04/04/2020,60-64,נקבה,1392,1207,106,0
29/03/2020,04/04/2020,60-64,זכר,1479,1247,150,0
29/03/2020,04/04/2020,60-64,לא ידוע,0,0,0,0
29/03/2020,04/04/2020,65-69,נקבה,900,771,80,0
29/03/2020,04/04/2020,65-69,זכר,1188,964,131,0
29/03/2020,04/04/2020,65-69,לא ידוע,0,0,0,0
29/03/2020,04/04/2020,70-74,זכר,795,642,94,0
29/03/2020,04/04/2020,70-74,נקבה,644,549,60,0
29/03/2020,04/04/2020,70-74,לא ידוע,0,0,0,0
29/03/2020,04/04/2020,75-79,נקבה,382,317,35,0
29/03/2020,04/04/2020,75-79,זכר,423,320,56,0
29/03/2020,04/04/2020,75-79,לא ידוע,0,0,0,0
29/03/2020,04/04/2020,80+,לא ידוע,0,0,0,0
29/03/2020,04/04/2020,80+,נקבה,1124,928,97,0
29/03/2020,04/04/2020,80+,זכר,847,706,80,0
29/03/2020,04/04/2020,NULL,נקבה,761,628,33,0
29/03/2020,04/04/2020,NULL,לא ידוע,138,133,0,0
29/03/2020,04/04/2020,NULL,זכר,746,652,52,0
05/04/2020,11/04/2020,0-19,נקבה,2775,2196,269,0
05/04/2020,11/04/2020,0-19,לא ידוע,78,78,0,0
05/04/2020,11/04/2020,0-19,זכר,3500,2832,353,0
05/04/2020,11/04/2020,20-24,לא ידוע,72,72,0,0
05/04/2020,11/04/2020,20-24,זכר,3495,2706,217,0
05/04/2020,11/04/2020,20-24,נקבה,2797,2201,171,0
05/04/2020,11/04/2020,25-29,נקבה,2258,1752,100,0
05/04/2020,11/04/2020,25-29,לא ידוע,44,41,0,0
05/04/2020,11/04/2020,25-29,זכר,2860,2270,154,0
05/04/2020,11/04/2020,30-34,לא ידוע,24,24,0,0
05/04/2020,11/04/2020,30-34,נקבה,1921,1497,72,0
05/04/2020,11/04/2020,30-34,זכר,2533,1980,116,0
05/04/2020,11/04/2020,35-39,זכר,2010,1545,75,0
05/04/2020,11/04/2020,35-39,נקבה,1580,1232,66,0
05/04/2020,11/04/2020,35-39,לא ידוע,15,15,0,0
05/04/2020,11/04/2020,40-44,לא ידוע,20,19,0,0
05/04/2020,11/04/2020,40-44,זכר,1713,1338,86,0
05/04/2020,11/04/2020,40-44,נקבה,1518,1205,74,0
05/04/2020,11/04/2020,45-49,נקבה,1590,1212,81,0
05/04/2020,11/04/2020,45-49,לא ידוע,23,23,0,0
05/04/2020,11/04/2020,45-49,זכר,1690,1295,88,0
05/04/2020,11/04/2020,50-54,לא ידוע,15,15,0,0
05/04/2020,11/04/2020,50-54,נקבה,1539,1161,82,0
05/04/2020,11/04/2020,50-54,זכר,1493,1147,81,0
05/04/2020,11/04/2020,55-59,נקבה,1371,1063,73,0
05/04/2020,11/04/2020,55-59,זכר,1416,1065,81,0
05/04/2020,11/04/2020,55-59,לא ידוע,16,15,0,0
05/04/2020,11/04/2020,60-64,נקבה,1133,870,55,0
05/04/2020,11/04/2020,60-64,זכר,1282,927,81,0
05/04/2020,11/04/2020,60-64,לא ידוע,19,19,0,0
05/04/2020,11/04/2020,65-69,נקבה,865,657,38,0
05/04/2020,11/04/2020,65-69,זכר,1043,732,60,0
05/04/2020,11/04/2020,65-69,לא ידוע,0,0,0,0
05/04/2020,11/04/2020,70-74,זכר,781,527,41,0
05/04/2020,11/04/2020,70-74,נקבה,691,521,41,0
05/04/2020,11/04/2020,70-74,לא ידוע,0,0,0,0
05/04/2020,11/04/2020,75-79,נקבה,494,373,28,0
05/04/2020,11/04/2020,75-79,זכר,495,337,20,0
05/04/2020,11/04/2020,75-79,לא ידוע,0,0,0,0
05/04/2020,11/04/2020,80+,לא ידוע,0,0,0,0
05/04/2020,11/04/2020,80+,נקבה,1858,1388,95,25
05/04/2020,11/04/2020,80+,זכר,1030,737,49,0
05/04/2020,11/04/2020,NULL,נקבה,597,467,29,0
05/04/2020,11/04/2020,NULL,לא ידוע,152,141,0,0
05/04/2020,11/04/2020,NULL,זכר,682,573,39,0
12/04/2020,18/04/2020,0-19,נקבה,4360,2806,380,0
12/04/2020,18/04/2020,0-19,לא ידוע,64,62,0,0
12/04/2020,18/04/2020,0-19,זכר,5005,3240,328,0
12/04/2020,18/04/2020,20-24,לא ידוע,41,39,0,0
12/04/2020,18/04/2020,20-24,זכר,4453,2954,192,0
12/04/2020,18/04/2020,20-24,נקבה,3492,2325,158,0
12/04/2020,18/04/2020,25-29,נקבה,3162,2147,88,0
12/04/2020,18/04/2020,25-29,לא ידוע,30,27,0,0
12/04/2020,18/04/2020,25-29,זכר,3918,2677,109,0
12/04/2020,18/04/2020,30-34,לא ידוע,20,20,0,0
12/04/2020,18/04/2020,30-34,נקבה,2685,1907,78,0
12/04/2020,18/04/2020,30-34,זכר,3392,2269,79,0
12/04/2020,18/04/2020,35-39,זכר,2798,1896,81,0
12/04/2020,18/04/2020,35-39,נקבה,2472,1812,58,0
12/04/2020,18/04/2020,35-39,לא ידוע,18,18,0,0
12/04/2020,18/04/2020,40-44,לא ידוע,19,19,0,0
12/04/2020,18/04/2020,40-44,זכר,2516,1675,64,0
12/04/2020,18/04/2020,40-44,נקבה,2398,1761,66,0
12/04/2020,18/04/2020,45-49,נקבה,2591,1864,88,0
12/04/2020,18/04/2020,45-49,לא ידוע,17,17,0,0
12/04/2020,18/04/2020,45-49,זכר,2485,1585,77,0
12/04/2020,18/04/2020,50-54,לא ידוע,0,0,0,0
12/04/2020,18/04/2020,50-54,נקבה,2399,1741,74,0
12/04/2020,18/04/2020,50-54,זכר,2273,1454,80,0
12/04/2020,18/04/2020,55-59,נקבה,2284,1645,47,0
12/04/2020,18/04/2020,55-59,זכר,2028,1196,62,0
12/04/2020,18/04/2020,55-59,לא ידוע,0,0,0,0
12/04/2020,18/04/2020,60-64,נקבה,1966,1439,46,0
12/04/2020,18/04/2020,60-64,זכר,1988,1225,45,0
12/04/2020,18/04/2020,60-64,לא ידוע,27,27,0,0
12/04/2020,18/04/2020,65-69,נקבה,1490,1133,31,0
12/04/2020,18/04/2020,65-69,זכר,1611,1016,43,0
12/04/2020,18/04/2020,65-69,לא ידוע,0,0,0,0
12/04/2020,18/04/2020,70-74,זכר,1381,944,33,0
12/04/2020,18/04/2020,70-74,נקבה,1388,1083,38,0
12/04/2020,18/04/2020,70-74,לא ידוע,0,0,0,0
12/04/2020,18/04/2020,75-79,נקבה,1096,881,27,0
12/04/2020,18/04/2020,75-79,זכר,932,659,17,0
12/04/2020,18/04/2020,75-79,לא ידוע,0,0,0,0
12/04/2020,18/04/2020,80+,לא ידוע,17,17,0,0
12/04/2020,18/04/2020,80+,נקבה,6053,5079,80,26
12/04/2020,18/04/2020,80+,זכר,2752,2168,45,18
12/04/2020,18/04/2020,NULL,נקבה,1257,980,31,0
12/04/2020,18/04/2020,NULL,לא ידוע,505,493,23,0
12/04/2020,18/04/2020,NULL,זכר,1213,873,48,0
19/04/2020,25/04/2020,0-19,נקבה,5462,3488,291,0
19/04/2020,25/04/2020,0-19,לא ידוע,244,233,0,0
19/04/2020,25/04/2020,0-19,זכר,6745,4514,345,0
19/04/2020,25/04/2020,20-24,לא ידוע,36,32,0,0
19/04/2020,25/04/2020,20-24,זכר,5251,3650,127,0
19/04/2020,25/04/2020,20-24,נקבה,3867,2641,107,0
19/04/2020,25/04/2020,25-29,נקבה,3662,2630,78,0
19/04/2020,25/04/2020,25-29,לא ידוע,0,0,0,0
19/04/2020,25/04/2020,25-29,זכר,4411,3048,82,0
19/04/2020,25/04/2020,30-34,לא ידוע,23,23,0,0
19/04/2020,25/04/2020,30-34,נקבה,3267,2366,47,0
19/04/2020,25/04/2020,30-34,זכר,3765,2671,54,0
19/04/2020,25/04/2020,35-39,זכר,3117,2249,43,0
19/04/2020,25/04/2020,35-39,נקבה,2816,2088,42,0
19/04/2020,25/04/2020,35-39,לא ידוע,24,24,0,0
19/04/2020,25/04/2020,40-44,לא ידוע,0,0,0,0
19/04/2020,25/04/2020,40-44,זכר,2814,2052,36,0
19/04/2020,25/04/2020,40-44,נקבה,2745,1956,48,0
19/04/2020,25/04/2020,45-49,נקבה,2904,2044,45,0
19/04/2020,25/04/2020,45-49,לא ידוע,0,0,0,0
19/04/2020,25/04/2020,45-49,זכר,2720,1911,47,0
19/04/2020,25/04/2020,50-54,לא ידוע,0,0,0,0
19/04/2020,25/04/2020,50-54,נקבה,2752,1969,33,0
19/04/2020,25/04/2020,50-54,זכר,2231,1559,44,0
19/04/2020,25/04/2020,55-59,נקבה,2554,1755,39,0
19/04/2020,25/04/2020,55-59,זכר,2136,1377,23,0
19/04/2020,25/04/2020,55-59,לא ידוע,0,0,0,0
19/04/2020,25/04/2020,60-64,נקבה,2227,1530,24,0
19/04/2020,25/04/2020,60-64,זכר,1968,1292,21,0
19/04/2020,25/04/2020,60-64,לא ידוע,0,0,0,0
19/04/2020,25/04/2020,65-69,נקבה,1729,1236,0,0
19/04/2020,25/04/2020,65-69,זכר,1771,1142,16,0
19/04/2020,25/04/2020,65-69,לא ידוע,0,0,0,0
19/04/2020,25/04/2020,70-74,זכר,1624,1061,15,0
19/04/2020,25/04/2020,70-74,נקבה,1657,1206,0,0
19/04/2020,25/04/2020,70-74,לא ידוע,0,0,0,0
19/04/2020,25/04/2020,75-79,נקבה,1361,1004,15,0
19/04/2020,25/04/2020,75-79,זכר,1046,684,0,0
19/04/2020,25/04/2020,75-79,לא ידוע,0,0,0,0
19/04/2020,25/04/2020,80+,לא ידוע,0,0,0,0
19/04/2020,25/04/2020,80+,נקבה,6366,4828,40,0
19/04/2020,25/04/2020,80+,זכר,2957,2098,25,0
19/04/2020,25/04/2020,NULL,נקבה,1402,1225,37,0
19/04/2020,25/04/2020,NULL,לא ידוע,661,653,0,0
19/04/2020,25/04/2020,NULL,זכר,1242,973,31,0
26/04/2020,02/05/2020,0-19,נקבה,3931,2142,127,0
26/04/2020,02/05/2020,0-19,לא ידוע,199,186,0,0
26/04/2020,02/05/2020,0-19,זכר,5211,3180,154,0
26/04/2020,02/05/2020,20-24,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,20-24,זכר,3582,2354,64,0
26/04/2020,02/05/2020,20-24,נקבה,2783,1747,42,0
26/04/2020,02/05/2020,25-29,נקבה,2597,1713,30,0
26/04/2020,02/05/2020,25-29,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,25-29,זכר,2767,1745,38,0
26/04/2020,02/05/2020,30-34,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,30-34,נקבה,2358,1632,23,0
26/04/2020,02/05/2020,30-34,זכר,2503,1682,25,0
26/04/2020,02/05/2020,35-39,זכר,2229,1498,16,0
26/04/2020,02/05/2020,35-39,נקבה,2145,1489,22,0
26/04/2020,02/05/2020,35-39,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,40-44,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,40-44,זכר,2128,1436,0,0
26/04/2020,02/05/2020,40-44,נקבה,2069,1362,18,0
26/04/2020,02/05/2020,45-49,נקבה,2165,1457,16,0
26/04/2020,02/05/2020,45-49,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,45-49,זכר,1987,1328,16,0
26/04/2020,02/05/2020,50-54,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,50-54,נקבה,1982,1323,0,0
26/04/2020,02/05/2020,50-54,זכר,1840,1192,0,0
26/04/2020,02/05/2020,55-59,נקבה,1856,1224,19,0
26/04/2020,02/05/2020,55-59,זכר,1686,1059,0,0
26/04/2020,02/05/2020,55-59,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,60-64,נקבה,1720,1162,0,0
26/04/2020,02/05/2020,60-64,זכר,1576,955,0,0
26/04/2020,02/05/2020,60-64,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,65-69,נקבה,1402,972,0,0
26/04/2020,02/05/2020,65-69,זכר,1420,900,0,0
26/04/2020,02/05/2020,65-69,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,70-74,זכר,1247,755,0,0
26/04/2020,02/05/2020,70-74,נקבה,1235,782,0,0
26/04/2020,02/05/2020,70-74,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,75-79,נקבה,907,597,0,0
26/04/2020,02/05/2020,75-79,זכר,795,476,0,0
26/04/2020,02/05/2020,75-79,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,80+,לא ידוע,0,0,0,0
26/04/2020,02/05/2020,80+,נקבה,4602,3023,18,0
26/04/2020,02/05/2020,80+,זכר,2218,1334,0,15
26/04/2020,02/05/2020,NULL,נקבה,1129,942,18,0
26/04/2020,02/05/2020,NULL,לא ידוע,666,647,0,0
26/04/2020,02/05/2020,NULL,זכר,1179,901,37,0
03/05/2020,09/05/2020,0-19,נקבה,2934,1801,40,0
03/05/2020,09/05/2020,0-19,לא ידוע,58,46,0,0
03/05/2020,09/05/2020,0-19,זכר,3524,2223,50,0
03/05/2020,09/05/2020,20-24,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,20-24,זכר,2266,1445,24,0
03/05/2020,09/05/2020,20-24,נקבה,2209,1393,17,0
03/05/2020,09/05/2020,25-29,נקבה,2385,1591,0,0
03/05/2020,09/05/2020,25-29,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,25-29,זכר,2198,1460,0,0
03/05/2020,09/05/2020,30-34,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,30-34,נקבה,2260,1567,0,0
03/05/2020,09/05/2020,30-34,זכר,2111,1426,0,0
03/05/2020,09/05/2020,35-39,זכר,2005,1435,0,0
03/05/2020,09/05/2020,35-39,נקבה,2168,1584,0,0
03/05/2020,09/05/2020,35-39,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,40-44,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,40-44,זכר,1848,1399,0,0
03/05/2020,09/05/2020,40-44,נקבה,2560,1902,0,0
03/05/2020,09/05/2020,45-49,נקבה,2061,1411,0,0
03/05/2020,09/05/2020,45-49,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,45-49,זכר,1839,1307,0,0
03/05/2020,09/05/2020,50-54,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,50-54,נקבה,1855,1215,0,0
03/05/2020,09/05/2020,50-54,זכר,1556,1023,0,0
03/05/2020,09/05/2020,55-59,נקבה,1704,1122,0,0
03/05/2020,09/05/2020,55-59,זכר,1244,739,0,0
03/05/2020,09/05/2020,55-59,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,60-64,נקבה,1503,952,0,0
03/05/2020,09/05/2020,60-64,זכר,1241,747,0,0
03/05/2020,09/05/2020,60-64,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,65-69,נקבה,1169,768,0,0
03/05/2020,09/05/2020,65-69,זכר,1230,716,0,0
03/05/2020,09/05/2020,65-69,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,70-74,זכר,1136,654,0,0
03/05/2020,09/05/2020,70-74,נקבה,1185,772,0,0
03/05/2020,09/05/2020,70-74,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,75-79,נקבה,954,592,0,0
03/05/2020,09/05/2020,75-79,זכר,784,453,0,0
03/05/2020,09/05/2020,75-79,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,80+,לא ידוע,0,0,0,0
03/05/2020,09/05/2020,80+,נקבה,5130,3137,0,0
03/05/2020,09/05/2020,80+,זכר,2450,1441,0,0
03/05/2020,09/05/2020,NULL,נקבה,1091,918,0,0
03/05/2020,09/05/2020,NULL,לא ידוע,113,111,0,0
03/05/2020,09/05/2020,NULL,זכר,1033,768,0,0
10/05/2020,16/05/2020,0-19,נקבה,2399,1436,24,0
10/05/2020,16/05/2020,0-19,לא ידוע,46,23,0,0
10/05/2020,16/05/2020,0-19,זכר,2795,1708,21,0
10/05/2020,16/05/2020,20-24,לא ידוע,0,0,0,0
10/05/2020,16/05/2020,20-24,זכר,1700,1052,0,0
10/05/2020,16/05/2020,20-24,נקבה,1687,1084,0,0
10/05/2020,16/05/2020,25-29,נקבה,1780,1205,0,0
10/05/2020,16/05/2020,25-29,לא ידוע,0,0,0,0
10/05/2020,16/05/2020,25-29,זכר,1470,910,0,0
10/05/2020,16/05/2020,30-34,לא ידוע,0,0,0,0
10/05/2020,16/05/2020,30-34,נקבה,1750,1232,0,0
10/05/2020,16/05/2020,30-34,זכר,1426,980,0,0
10/05/2020,16/05/2020,35-39,זכר,1366,985,0,0
